Department Family                                 ,Entity                                            ,Date                   ,Expense Type                                      ,Expense Area                                      ,Supplier                                          ,Transaction Number                                ,Amount               ,VAT Registration Number                           
--------------------------------------------------,--------------------------------------------------,-----------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,--------------------------------------------------,---------------------,--------------------------------------------------
DCMS                                              ,NHM                                               ,2013-03-05 00:00:00.000,Est RoutineMaint - Day to day Maint               ,Estates Buildings                                 ,Teco Interiors Limited                            ,CADPINVSM0000009646                               ,             320.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-05 00:00:00.000,Est RoutineMaint - Day to day Maint               ,Estates Buildings                                 ,Teco Interiors Limited                            ,CADPINVSM0000009646                               ,             588.4500,                                                  
DCMS                                              ,NHM                                               ,2013-03-05 00:00:00.000,Est RoutineMaint - Day to day Maint               ,Estates Buildings                                 ,Teco Interiors Limited                            ,CADPINVSM0000009646                               ,            6174.8800,                                                  
DCMS                                              ,NHM                                               ,2013-03-05 00:00:00.000,Exhibition Production                             ,PEG Visitor Offer Strat Non Exh Proj              ,Godfrey Syrett                                    ,CADPINVSM0000009734                               ,            1638.4000,                                                  
DCMS                                              ,NHM                                               ,2013-03-05 00:00:00.000,P/L - Est Irrecoverable VAT R/Costs               ,Estates Management                                ,Teco Interiors Limited                            ,CADPINVSM0000009646                               ,              45.0500,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,B/S - Equipment (Plant & Machinery)               ,Entomology Research                               ,Hamilton Robotics Ltd                             ,CADPINVSM0000009782                               ,             177.3500,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,B/S - Equipment (Plant & Machinery)               ,Entomology Research                               ,Hamilton Robotics Ltd                             ,CADPINVSM0000009782                               ,             222.0100,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,B/S - Equipment (Plant & Machinery)               ,Entomology Research                               ,Hamilton Robotics Ltd                             ,CADPINVSM0000009782                               ,             255.5500,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,B/S - Equipment (Plant & Machinery)               ,Entomology Research                               ,Hamilton Robotics Ltd                             ,CADPINVSM0000009782                               ,             494.3300,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,B/S - Equipment (Plant & Machinery)               ,Entomology Research                               ,Hamilton Robotics Ltd                             ,CADPINVSM0000009782                               ,            2977.8300,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,B/S - Equipment (Plant & Machinery)               ,Entomology Research                               ,Hamilton Robotics Ltd                             ,CADPINVSM0000009782                               ,            4917.6700,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,B/S - Tangible F Assets - L&B - Cons              ,Estates Buildings                                 ,ISG Interior Services Group Plc                   ,CADPINVSM0000009763                               ,           36875.6600,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,B/S - Tangible F Assets - L&B - Cons              ,Estates Buildings                                 ,ISG Interior Services Group Plc                   ,CADPINVSM0000009764                               ,           38125.1000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Curatorial Supplies                               ,Zoology Curation                                  ,G Ryder & Co Ltd                                  ,CADPINVSM0000009780                               ,              40.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Curatorial Supplies                               ,Zoology Curation                                  ,G Ryder & Co Ltd                                  ,CADPINVSM0000009780                               ,             166.4000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Curatorial Supplies                               ,Zoology Curation                                  ,G Ryder & Co Ltd                                  ,CADPINVSM0000009780                               ,             195.3000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Curatorial Supplies                               ,Zoology Curation                                  ,G Ryder & Co Ltd                                  ,CADPINVSM0000009780                               ,             356.7000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Curatorial Supplies                               ,Zoology Curation                                  ,G Ryder & Co Ltd                                  ,CADPINVSM0000009780                               ,             682.8000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Equipment < £5k                                   ,VE Production Special Effects                     ,GV Multi-media                                    ,CADPINVSM0000009736                               ,            5892.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Exhibition Production                             ,PEG Vis Serv Temporary Exhibitions                ,TRAC Ltd                                          ,CADPINVSM0000009730                               ,            2325.0000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,FOH Uniform Costs                                 ,PEG Service Development (Ex Vis Exp)              ,Burlington Uniforms Limited                       ,CADPINVSM0000009765                               ,             347.8000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,FOH Uniform Costs                                 ,PEG Service Development (Ex Vis Exp)              ,Burlington Uniforms Limited                       ,CADPINVSM0000009765                               ,             803.8500,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Irrecoverable VAT                                 ,Zoology Admin                                     ,Appleton Woods Ltd                                ,CADPINVSM0000009766                               ,              76.0400,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Irrecoverable VAT                                 ,DCS Finance                                       ,Burlington Uniforms Limited                       ,CADPINVSM0000009765                               ,               7.3200,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Irrecoverable VAT                                 ,Mineralogy Admin                                  ,Dell Computer Corporation Ltd                     ,CADPINVSM0000009770                               ,             250.6300,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Irrecoverable VAT                                 ,Zoology Admin                                     ,G Ryder & Co Ltd                                  ,CADPINVSM0000009780                               ,             118.1200,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Irrecoverable VAT                                 ,Mineralogy Admin                                  ,Hiltonbrooks Ltd                                  ,CADPINVSM0000009743                               ,             270.0600,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Irrecoverable VAT                                 ,Zoology Admin                                     ,Labcold Ltd                                       ,CADPINVSM0000009768                               ,              55.2000,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Irrecoverable VAT                                 ,Zoology Admin                                     ,Labcold Ltd                                       ,CADPINVSM0000009769                               ,              52.5700,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Irrecoverable VAT                                 ,DCS Finance                                       ,PCS Business Systems                              ,CADPINVSM0000009773                               ,              76.2200,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Irrecoverable VAT                                 ,Botany Administration                             ,Qiagen Limited                                    ,CADPINVSM0000009752                               ,             264.5900,                                                  
DCMS                                              ,NHM                                               ,2013-03-13 00:00:00.000,Irrecoverable VAT                                 ,Zoology Admin                                     ,Qiagen Limited                                    ,CADPINVSM0000009757                               ,              55.0800,                                                  
