"title-titre-eng","title-titre-fra","referenceNumber-numeroReference","amendmentNumber-numeroModification","procurementNumber-numeroApprovisionnement","solicitationNumber-numeroSollicitation","contractNumber-numeroContrat","numberOfRecords-nombreEnregistrements","publicationDate-datePublication","contractAwardDate-dateAttributionContrat","amendmentDate-dateModification","contractStartDate-contratDateDebut","contractEndDate-dateFinContrat","contractAmount-montantContrat","totalContractValue-valeurTotaleContrat","contractCurrency-contratMonnaie","contractStatus-statutContrat-eng","contractStatus-statutContrat-fra","gsin-nibs","gsinDescription-nibsDescription-eng","gsinDescription-nibsDescription-fra","unspsc","unspscDescription-eng","unspscDescription-fra","procurementCategory-categorieApprovisionnement","noticeType-avisType-eng","noticeType-avisType-fra","procurementMethod-methodeApprovisionnement-eng","procurementMethod-methodeApprovisionnement-fra","selectionCriteria-criteresSelection-eng","selectionCriteria-criteresSelection-fra","limitedTenderingReason-raisonAppelOffresLimite-eng","limitedTenderingReason-raisonAppelOffresLimite-fra","tradeAgreements-accordsCommerciaux-eng","tradeAgreements-accordsCommerciaux-fra","regionsOfDelivery-regionsLivraison-eng","regionsOfDelivery-regionsLivraison-fra","supplierLegalName-nomLegalFournisseur-eng","supplierLegalName-nomLegalFournisseur-fra","supplierStandardizedName-nomNormaliseFournisseur-eng","supplierStandardizedName-nomNormaliseFournisseur-fra","supplierOperatingName-nomCommercialFournisseur-eng","supplierOperatingName-nomCommercialFournisseur-fra","supplierEmployeeCount-fournisseurNombreEmployes-eng","supplierEmployeeCount-fournisseurNombreEmployes-fra","supplierAddressLine-ligneAdresseFournisseur-eng","supplierAddressLine-ligneAdresseFournisseur-fra","supplierAddressCity-fournisseurAdresseVille-eng","supplierAddressCity-fournisseurAdresseVille-fra","supplierAddressProvince-fournisseurAdresseProvince-eng","supplierAddressProvince-fournisseurAdresseProvince-fra","supplierAddressPostalCode-fournisseurAdresseCodePostal","supplierAddressCountry-fournisseurAdressePays-eng","supplierAddressCountry-fournisseurAdressePays-fra","contractingEntityName-nomEntitContractante-eng","contractingEntityName-nomEntitContractante-fra","contractingEntityAddressLine-ligneAdresseEntiteContractante-eng","contractingEntityAddressLine-ligneAdresseEntiteContractante-fra","contractingEntityAddressCity-entiteContractanteAdresseVille-eng","contractingEntityAddressCity-entiteContractanteAdresseVille-fra","contractingEntityAddressProvince-entiteContractanteAdresseProvince-eng","contractingEntityAddressProvince-entiteContractanteAdresseProvince-fra","contractingEntityAddressPostalCode-entiteContractanteAdresseCodePostal","contractingEntityAddressCountry-entiteContractanteAdressePays-eng","contractingEntityAddressCountry-entiteContractanteAdressePays-fra","endUserEntitiesName-nomEntitesUtilisateurFinal-eng","endUserEntitiesName-nomEntitesUtilisateurFinal-fra","endUserEntitiesOfficeName-bureauNomEntitesUtilisateurFinal-eng","endUserEntitiesOfficeName-bureauNomEntitesUtilisateurFinal-fra","endUserEntitiesAddress-adresseEntitesUtilisateurFinal-eng","endUserEntitiesAddress-adresseEntitesUtilisateurFinal-fra","contactInfoName-informationsContactNom","contactInfoEmail-informationsContactCourriel","contactInfoPhone-contactInfoTelephone","contactInfoFax","contactInfoAddressLine-contactInfoAdresseLigne-eng","contactInfoAddressLine-contactInfoAdresseLigne-fra","contactInfoCity-contacterInfoVille-eng","contactInfoCity-contacterInfoVille-fra","contactInfoProvince-contacterInfoProvince-eng","contactInfoProvince-contacterInfoProvince-fra","contactInfoPostalcode","contactInfoCountry-contactInfoPays-eng","contactInfoCountry-contactInfoPays-fra","percentageOfGoodsByCountry-pourcentageDeBiensParPays","tenderDescription-descriptionAppelOffres-eng","tenderDescription-descriptionAppelOffres-fra"
"G HAHN CONTRACTING LTD (ET025-190083/001/PWZ~008)","G HAHN CONTRACTING LTD (ET025-190083/001/PWZ~008)","ET025-190083/001/PWZ","008","ET025-190083","","ET025-190083/001/PWZ","10","","2019-12-05","","","2019-01-04","-7650.00","867197.00","CAD","","","*5123B","*Construction of Warehouses and Industrial Buildings","*Construction d'entrepôts et de bâtiments industriels","","","","*CNST","","","Competitive - Open bidding","Concurrentielle - Invitation ouverte à soumissionner","Lowest Price","Prix le plus bas","","","*Canada-Chile Free Trade Agreement (CCFTA)
*Canada-European Union Comprehensive Economic and Trade Agreement (CETA)","*Accord de libre-échange Canada-Chili (ALECC)
*Accord économique et commercial global (AECG) entre le Canada et l’Union européenne (UE)","","","G. Hahn Contracting Ltd.","G. Hahn Contracting Ltd.","G HAHN CONTRACTING LTD","G HAHN CONTRACTING LTD","G. Hahn Contracting Ltd.","G. Hahn Contracting Ltd.","10 to 19 employees","10 à 19 employés","P. O. Box 640<br>902 Broadway Street East","P. O. Box 640<br>902 Broadway Street East","Fort Qu'Appelle","Fort Qu'Appelle","Saskatchewan","Saskatchewan","S0G1S0","Canada","Canada","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","","","","","","","","","","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","REAL PROPERTY SERVS","N/D","100-167 LOMBARD AVE,WINNIPEG,Manitoba,R3B0T6,Canada","100-167 LOMBARD AVE,WINNIPEG,Manitoba,R3B0T6,Canada","","","","","","","","","","","","","","","",""
"G HAHN CONTRACTING LTD (ET025-190083/001/PWZ~009)","G HAHN CONTRACTING LTD (ET025-190083/001/PWZ~009)","ET025-190083/001/PWZ","009","ET025-190083","","ET025-190083/001/PWZ","10","","2020-01-15","","","2019-01-04","-2482.00","867197.00","CAD","","","*5123B","*Construction of Warehouses and Industrial Buildings","*Construction d'entrepôts et de bâtiments industriels","","","","*CNST","","","Competitive - Open bidding","Concurrentielle - Invitation ouverte à soumissionner","Lowest Price","Prix le plus bas","","","*Canada-European Union Comprehensive Economic and Trade Agreement (CETA)
*Canada-Chile Free Trade Agreement (CCFTA)","*Accord économique et commercial global (AECG) entre le Canada et l’Union européenne (UE)
*Accord de libre-échange Canada-Chili (ALECC)","","","G. Hahn Contracting Ltd.","G. Hahn Contracting Ltd.","G HAHN CONTRACTING LTD","G HAHN CONTRACTING LTD","G. Hahn Contracting Ltd.","G. Hahn Contracting Ltd.","10 to 19 employees","10 à 19 employés","P. O. Box 640<br>902 Broadway Street East","P. O. Box 640<br>902 Broadway Street East","Fort Qu'Appelle","Fort Qu'Appelle","Saskatchewan","Saskatchewan","S0G1S0","Canada","Canada","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","","","","","","","","","","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","REAL PROPERTY SERVS","N/D","100-167 LOMBARD AVE,WINNIPEG,Manitoba,R3B0T6,Canada","100-167 LOMBARD AVE,WINNIPEG,Manitoba,R3B0T6,Canada","","","","","","","","","","","","","","","",""
"LUXTON CONSTRUCTION INC (F1700-195552/001/PWY~000)","LUXTON CONSTRUCTION INC (F1700-195552/001/PWY~000)","F1700-195552/001/PWY","000","F1700-195552","","F1700-195552/001/PWY","2","","2019-09-10","","","2020-09-09","0.00","1247000.00","CAD","","","*5123B","*Construction of Warehouses and Industrial Buildings","*Construction d'entrepôts et de bâtiments industriels","","","","*CNST","","","Competitive - Open bidding","Concurrentielle - Invitation ouverte à soumissionner","Lowest Price","Prix le plus bas","","","*Canadian Free Trade Agreement (CFTA)","*Accord de libre-échange canadien (ALEC)","","","Luxton Construction Inc.","Luxton Construction Inc.","LUXTON CONSTRUCTION INC","LUXTON CONSTRUCTION INC","Luxton Construction Inc.","Luxton Construction Inc.","5 to 9 employees","5 à 9 employés","103A, 8275 92 st","103A, 8275 92 st","Delta","Delta","British Columbia","British Columbia","V4G0A4","Canada","Canada","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","","","","","","","","","","Fisheries and Oceans Canada","Pêches et Océans Canada","REAL PROPERTY","N/D","STE 200<br>401 BURRARD ST,VANCOUVER,British Columbia,V6C3S4,Canada","STE 200<br>401 BURRARD ST,VANCOUVER,British Columbia,V6C3S4,Canada","","","","","","","","","","","","","","","",""
"LUXTON CONSTRUCTION INC (F1700-195552/001/PWY~001)","LUXTON CONSTRUCTION INC (F1700-195552/001/PWY~001)","F1700-195552/001/PWY","001","F1700-195552","","F1700-195552/001/PWY","2","","2019-09-10","","","2020-09-09","1247000.00","1247000.00","CAD","","","*5123B","*Construction of Warehouses and Industrial Buildings","*Construction d'entrepôts et de bâtiments industriels","","","","*CNST","","","Competitive - Open bidding","Concurrentielle - Invitation ouverte à soumissionner","Lowest Price","Prix le plus bas","","","*Canadian Free Trade Agreement (CFTA)","*Accord de libre-échange canadien (ALEC)","","","Luxton Construction Inc.","Luxton Construction Inc.","LUXTON CONSTRUCTION INC","LUXTON CONSTRUCTION INC","Luxton Construction Inc.","Luxton Construction Inc.","5 to 9 employees","5 à 9 employés","103A, 8275 92 st","103A, 8275 92 st","Delta","Delta","British Columbia","British Columbia","V4G0A4","Canada","Canada","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","","","","","","","","","","Fisheries and Oceans Canada","Pêches et Océans Canada","REAL PROPERTY","N/D","STE 200<br>401 BURRARD ST,VANCOUVER,British Columbia,V6C3S4,Canada","STE 200<br>401 BURRARD ST,VANCOUVER,British Columbia,V6C3S4,Canada","","","","","","","","","","","","","","","",""
"COPCAN CONTRACTING LTD (F1705-190000/001/PWY~000)","COPCAN CONTRACTING LTD (F1705-190000/001/PWY~000)","F1705-190000/001/PWY","000","F1705-190000","","F1705-190000/001/PWY","2","","2019-06-11","","","2020-06-10","2795000.00","2986366.00","CAD","","","*5123B","*Construction of Warehouses and Industrial Buildings","*Construction d'entrepôts et de bâtiments industriels","","","","*CNST","","","Competitive - Open bidding","Concurrentielle - Invitation ouverte à soumissionner","Lowest Price","Prix le plus bas","","","*Canadian Free Trade Agreement (CFTA)","*Accord de libre-échange canadien (ALEC)","","","Copcan Contracting Ltd.","Copcan Contracting Ltd.","COPCAN CONTRACTING LTD","COPCAN CONTRACTING LTD","Copcan Contracting Ltd.","Copcan Contracting Ltd.","100 to 199 employees","100 à 199 employés","1920 Balsam Rd","1920 Balsam Rd","Nanaimo","Nanaimo","British Columbia","British Columbia","V9X1T5","Canada","Canada","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","","","","","","","","","","Fisheries and Oceans Canada","Pêches et Océans Canada","CCG SUPT MARINE CIVIL INFRASTR","N/D","25 HURON ST,VICTORIA,British Columbia,V8V4V9,Canada","25 HURON ST,VICTORIA,British Columbia,V8V4V9,Canada","","","","","","","","","","","","","","","",""
"COPCAN CONTRACTING LTD (F1705-190000/001/PWY~001)","COPCAN CONTRACTING LTD (F1705-190000/001/PWY~001)","F1705-190000/001/PWY","001","F1705-190000","","F1705-190000/001/PWY","2","","2019-09-10","","","2020-06-10","191366.00","2986366.00","CAD","","","*5123B","*Construction of Warehouses and Industrial Buildings","*Construction d'entrepôts et de bâtiments industriels","","","","*CNST","","","Competitive - Open bidding","Concurrentielle - Invitation ouverte à soumissionner","Lowest Price","Prix le plus bas","","","*Canadian Free Trade Agreement (CFTA)","*Accord de libre-échange canadien (ALEC)","","","Copcan Contracting Ltd.","Copcan Contracting Ltd.","COPCAN CONTRACTING LTD","COPCAN CONTRACTING LTD","Copcan Contracting Ltd.","Copcan Contracting Ltd.","100 to 199 employees","100 à 199 employés","1920 Balsam Rd","1920 Balsam Rd","Nanaimo","Nanaimo","British Columbia","British Columbia","V9X1T5","Canada","Canada","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","","","","","","","","","","Fisheries and Oceans Canada","Pêches et Océans Canada","CCG SUPT MARINE CIVIL INFRASTR","N/D","25 HURON ST,VICTORIA,British Columbia,V8V4V9,Canada","25 HURON ST,VICTORIA,British Columbia,V8V4V9,Canada","","","","","","","","","","","","","","","",""
"LANDTEC GROUND EXPERTS (K4A22-200368/001/PWY~000)","LANDTEC GROUND EXPERTS (K4A22-200368/001/PWY~000)","K4A22-200368/001/PWY","000","K4A22-200368","","K4A22-200368/001/PWY","1","","2020-03-04","","","2021-03-04","623000.00","623000.00","CAD","","","*5123B","*Construction of Warehouses and Industrial Buildings","*Construction d'entrepôts et de bâtiments industriels","","","","*CNST","","","Competitive - Open bidding","Concurrentielle - Invitation ouverte à soumissionner","Lowest Price","Prix le plus bas","","","*Canadian Free Trade Agreement (CFTA)","*Accord de libre-échange canadien (ALEC)","","","Mohammad Hussain","Mohammad Hussain","LANDTEC GROUND EXPERTS","LANDTEC GROUND EXPERTS","Landtec Ground Experts","Landtec Ground Experts","1 to 4 employees","1 à 4 employés","21476  83 AVE","21476  83 AVE","LANGLEY","LANGLEY","British Columbia","British Columbia","V2Y2C6","Canada","Canada","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","","","","","","","","","","Environment Canada","Environnement Canada","ACEMD FINANCE&CORP.BR.","N/D","335 RIVER RD,OTTAWA,Ontario,K1A0H3,Canada","335 RIVER RD,OTTAWA,Ontario,K1A0H3,Canada","","","","","","","","","","","","","","","",""
"4089171 CANADA INC (01965-181288/001/FG~001)","4089171 CANADA INC (01965-181288/001/FG~001)","01965-181288/001/FG","001","01965-181288","","01965-181288/001/FG","2","","2019-04-01","","","2019-02-25","6654.00","396654.00","CAD","","","*5124B","*Construction of Commercial Buildings","*Construction d'édifices commerciaux","","","","*CNST","","","Competitive - Open bidding","Concurrentielle - Invitation ouverte à soumissionner","Lowest Price","Prix le plus bas","","","*Canada-European Union Comprehensive Economic and Trade Agreement (CETA)
*Canada-Chile Free Trade Agreement (CCFTA)","*Accord économique et commercial global (AECG) entre le Canada et l’Union européenne (UE)
*Accord de libre-échange Canada-Chili (ALECC)","","","4089171 Canada Inc.","4089171 Canada Inc.","4089171 CANADA INC","4089171 CANADA INC","BMI","BMI","20 to 49 employees","20 à 49 employés","207 Bank Street<br>Suite 405","207 Bank Street<br>Suite 405","Ottawa","Ottawa","Ontario","Ontario","K2P2N2","Canada","Canada","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","","","","","","","","","","Agriculture and Agri-Food Canada","Agriculture et Agroalimentaire Canada","CEF INTEGRATED SERVICES","SERVICES INTEGRES DE LA FEC","ROOM 1103, K.W. NEATBY BLDG<br>960 CARLING AVENUE,OTTAWA,Ontario,K1A0C6,Canada","ROOM 1103, K.W. NEATBY BLDG<br>960 CARLING AVENUE,OTTAWA,Ontario,K1A0C6,Canada","","","","","","","","","","","","","","","",""
"ELLISDON CONSTRUCTION LTD (08A33-180482/001/FG~000)","ELLISDON CONSTRUCTION LTD (08A33-180482/001/FG~000)","08A33-180482/001/FG","000","08A33-180482","","08A33-180482/001/FG","18","","2019-06-28","","","2021-10-11","18400000.00","20990663.00","CAD","","","*5124B","*Construction of Commercial Buildings","*Construction d'édifices commerciaux","","","","*CNST","","","Competitive - Open bidding","Concurrentielle - Invitation ouverte à soumissionner","Highest Combined Rating of Technical Merit and Price","Cote combinée la plus élevée pour le mérite technique et le prix","","","* Other trade agreements not listed here may apply
*Canada-European Union Comprehensive Economic and Trade Agreement (CETA)
*Canada-Peru Free Trade Agreement (CPFTA)
*North American Free Trade Agreement (NAFTA)
*Canada-Chile Free Trade Agreement (CCFTA)
*Canada-Panama Free Trade Agreement
*Canada-Colombia Free Trade Agreement
*World Trade Organization Agreement on Government Procurement (WTO GPA)","*d'autres accords commerciaux non répertoriés ici peuvent s'appliquer
*Accord économique et commercial global (AECG) entre le Canada et l’Union européenne (UE)
*Accord de libre-échange Canada-Pérou (ALECP)
*Accord de libre-échange nord-américain (ALENA)
*Accord de libre-échange Canada-Chili (ALECC)
*Accord de libre-échange Canada-Panama
*Accord de libre-échange Canada-Colombie
*Accord sur les marchés publics de l'Organisation mondiale du commerce (AMP-OMC)","","","EllisDon Construction Ltd.","EllisDon Construction Ltd.","ELLISDON CONSTRUCTION LTD","ELLISDON CONSTRUCTION LTD","EllisDon Construction Ltd.","EllisDon Construction Ltd.","1500 to 2499 employees","1500 à 2499 employés","1004 Middlegate Road<br>Suite 1000","1004 Middlegate Road<br>Suite 1000","Mississauga","Mississauga","Ontario","Ontario","L4Y1M4","Canada","Canada","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","","","","","","","","","","FOREIGN AFFAIRS, TRADE AND DEVELOPMENT (DEPARTMENT OF)","AFFAIRES ETRANGERES, DU COMMERCE ET DU DEVELOPPEMENT (MINISTERE DES)","SPP CONTRACTING POL.MONIT.&OPS","SPP POL.ATTRIB.MAR.SURV.&OPER.","LB PEARSON BLDG TWR D1<br>125 SUSSEX DR.,OTTAWA,Ontario,K1A0G2,Canada","LB PEARSON BLDG TWR D1<br>125 SUSSEX DR.,OTTAWA,Ontario,K1A0G2,Canada","","","","","","","","","","","","","","","",""
"ELLISDON CONSTRUCTION LTD (08A33-180482/001/FG~001)","ELLISDON CONSTRUCTION LTD (08A33-180482/001/FG~001)","08A33-180482/001/FG","001","08A33-180482","","08A33-180482/001/FG","18","","2019-09-16","","","2021-10-11","28520.00","20990663.00","CAD","","","*5124B","*Construction of Commercial Buildings","*Construction d'édifices commerciaux","","","","*CNST","","","Competitive - Open bidding","Concurrentielle - Invitation ouverte à soumissionner","Highest Combined Rating of Technical Merit and Price","Cote combinée la plus élevée pour le mérite technique et le prix","","","*Canada-Peru Free Trade Agreement (CPFTA)
*Canada-Chile Free Trade Agreement (CCFTA)
* Other trade agreements not listed here may apply
*Canada-European Union Comprehensive Economic and Trade Agreement (CETA)
*North American Free Trade Agreement (NAFTA)
*Canada-Colombia Free Trade Agreement
*Canada-Panama Free Trade Agreement
*World Trade Organization Agreement on Government Procurement (WTO GPA)","*Accord de libre-échange Canada-Pérou (ALECP)
*Accord de libre-échange Canada-Chili (ALECC)
*d'autres accords commerciaux non répertoriés ici peuvent s'appliquer
*Accord économique et commercial global (AECG) entre le Canada et l’Union européenne (UE)
*Accord de libre-échange nord-américain (ALENA)
*Accord de libre-échange Canada-Colombie
*Accord de libre-échange Canada-Panama
*Accord sur les marchés publics de l'Organisation mondiale du commerce (AMP-OMC)","","","EllisDon Construction Ltd.","EllisDon Construction Ltd.","ELLISDON CONSTRUCTION LTD","ELLISDON CONSTRUCTION LTD","EllisDon Construction Ltd.","EllisDon Construction Ltd.","1500 to 2499 employees","1500 à 2499 employés","1004 Middlegate Road<br>Suite 1000","1004 Middlegate Road<br>Suite 1000","Mississauga","Mississauga","Ontario","Ontario","L4Y1M4","Canada","Canada","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","","","","","","","","","","FOREIGN AFFAIRS, TRADE AND DEVELOPMENT (DEPARTMENT OF)","AFFAIRES ETRANGERES, DU COMMERCE ET DU DEVELOPPEMENT (MINISTERE DES)","SPP CONTRACTING POL.MONIT.&OPS","SPP POL.ATTRIB.MAR.SURV.&OPER.","LB PEARSON BLDG TWR D1<br>125 SUSSEX DR.,OTTAWA,Ontario,K1A0G2,Canada","LB PEARSON BLDG TWR D1<br>125 SUSSEX DR.,OTTAWA,Ontario,K1A0G2,Canada","","","","","","","","","","","","","","","",""
"ELLISDON CONSTRUCTION LTD (08A33-180482/001/FG~002)","ELLISDON CONSTRUCTION LTD (08A33-180482/001/FG~002)","08A33-180482/001/FG","002","08A33-180482","","08A33-180482/001/FG","18","","2020-02-05","","","2021-10-11","213850.00","20990663.00","CAD","","","*5124B","*Construction of Commercial Buildings","*Construction d'édifices commerciaux","","","","*CNST","","","Competitive - Open bidding","Concurrentielle - Invitation ouverte à soumissionner","Highest Combined Rating of Technical Merit and Price","Cote combinée la plus élevée pour le mérite technique et le prix","","","*Canada-European Union Comprehensive Economic and Trade Agreement (CETA)
*Canada-Peru Free Trade Agreement (CPFTA)
*Canada-Chile Free Trade Agreement (CCFTA)
*Canada-Colombia Free Trade Agreement
*North American Free Trade Agreement (NAFTA)
* Other trade agreements not listed here may apply
*Canada-Panama Free Trade Agreement
*World Trade Organization Agreement on Government Procurement (WTO GPA)","*Accord économique et commercial global (AECG) entre le Canada et l’Union européenne (UE)
*Accord de libre-échange Canada-Pérou (ALECP)
*Accord de libre-échange Canada-Chili (ALECC)
*Accord de libre-échange Canada-Colombie
*Accord de libre-échange nord-américain (ALENA)
*d'autres accords commerciaux non répertoriés ici peuvent s'appliquer
*Accord de libre-échange Canada-Panama
*Accord sur les marchés publics de l'Organisation mondiale du commerce (AMP-OMC)","","","EllisDon Construction Ltd.","EllisDon Construction Ltd.","ELLISDON CONSTRUCTION LTD","ELLISDON CONSTRUCTION LTD","EllisDon Construction Ltd.","EllisDon Construction Ltd.","1500 to 2499 employees","1500 à 2499 employés","1004 Middlegate Road<br>Suite 1000","1004 Middlegate Road<br>Suite 1000","Mississauga","Mississauga","Ontario","Ontario","L4Y1M4","Canada","Canada","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","","","","","","","","","","FOREIGN AFFAIRS, TRADE AND DEVELOPMENT (DEPARTMENT OF)","AFFAIRES ETRANGERES, DU COMMERCE ET DU DEVELOPPEMENT (MINISTERE DES)","SPP CONTRACTING POL.MONIT.&OPS","SPP POL.ATTRIB.MAR.SURV.&OPER.","LB PEARSON BLDG TWR D1<br>125 SUSSEX DR.,OTTAWA,Ontario,K1A0G2,Canada","LB PEARSON BLDG TWR D1<br>125 SUSSEX DR.,OTTAWA,Ontario,K1A0G2,Canada","","","","","","","","","","","","","","","",""
"GIBBONS SNOW ARCHITECTS INC (EA003-202480/001/PWA~000)","GIBBONS SNOW ARCHITECTS INC (EA003-202480/001/PWA~000)","EA003-202480/001/PWA","000","EA003-202480","","EA003-202480/001/PWA","8","","2020-01-15","","","2021-03-31","112700.00","215266.00","CAD","","","*5124B","*Construction of Commercial Buildings","*Construction d'édifices commerciaux","","","","*CNST","","","Competitive - Traditional","Concurrentielle - Traditionnelle","Lowest Price","Prix le plus bas","","","*Canada-Peru Free Trade Agreement (CPFTA)
*Canada-Colombia Free Trade Agreement
*Canada-European Union Comprehensive Economic and Trade Agreement (CETA)
*North American Free Trade Agreement (NAFTA)
* Other trade agreements not listed here may apply
*Canada-Panama Free Trade Agreement
*Canada-Chile Free Trade Agreement (CCFTA)
*World Trade Organization Agreement on Government Procurement (WTO GPA)","*Accord de libre-échange Canada-Pérou (ALECP)
*Accord de libre-échange Canada-Colombie
*Accord économique et commercial global (AECG) entre le Canada et l’Union européenne (UE)
*Accord de libre-échange nord-américain (ALENA)
*d'autres accords commerciaux non répertoriés ici peuvent s'appliquer
*Accord de libre-échange Canada-Panama
*Accord de libre-échange Canada-Chili (ALECC)
*Accord sur les marchés publics de l'Organisation mondiale du commerce (AMP-OMC)","","","GIBBONS SNOW ARCHITECTS INC.","GIBBONS SNOW ARCHITECTS INC.","GIBBONS SNOW ARCHITECTS INC","GIBBONS SNOW ARCHITECTS INC","GIBBONS SNOW ARCHITECTS INC.","GIBBONS SNOW ARCHITECTS INC.","10 to 19 employees","10 à 19 employés","Suite 300<br>336 Water Street","Suite 300<br>336 Water Street","St. John's","St. John's","Newfoundland and Labrador","Newfoundland and Labrador","A1C1C1","Canada","Canada","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","","","","","","","","","","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","PROJECT MGNT RPS","N/D","JOHN CABOT BLDG<br>10 BARTERS HILL P.O.BOX 4600,ST JOHNS,Newfoundland and Labrador,A1C5T2,Canada","JOHN CABOT BLDG<br>10 BARTERS HILL P.O.BOX 4600,ST JOHNS,Newfoundland and Labrador,A1C5T2,Canada","","","","","","","","","","","","","","","",""
"POMERLEAU INC (EP747-171823/001/FE~007)","POMERLEAU INC (EP747-171823/001/FE~007)","EP747-171823/001/FE","007","EP747-171823","","EP747-171823/001/FE","22","","2019-07-09","","","2021-03-31","10240000.00","87854653.00","CAD","","","*5124B","*Construction of Commercial Buildings","*Construction d'édifices commerciaux","","","","*CNST","","","Competitive - Open bidding","Concurrentielle - Invitation ouverte à soumissionner","Lowest Price","Prix le plus bas","","","*Canada-Chile Free Trade Agreement (CCFTA)
* Other trade agreements not listed here may apply
*Canada-European Union Comprehensive Economic and Trade Agreement (CETA)
*Canada-Colombia Free Trade Agreement
*Canada-Peru Free Trade Agreement (CPFTA)
*World Trade Organization Agreement on Government Procurement (WTO GPA)
*North American Free Trade Agreement (NAFTA)
*Canada-Panama Free Trade Agreement","*Accord de libre-échange Canada-Chili (ALECC)
*d'autres accords commerciaux non répertoriés ici peuvent s'appliquer
*Accord économique et commercial global (AECG) entre le Canada et l’Union européenne (UE)
*Accord de libre-échange Canada-Colombie
*Accord de libre-échange Canada-Pérou (ALECP)
*Accord sur les marchés publics de l'Organisation mondiale du commerce (AMP-OMC)
*Accord de libre-échange nord-américain (ALENA)
*Accord de libre-échange Canada-Panama","","","Pomerleau Inc.","Pomerleau Inc.","POMERLEAU INC","POMERLEAU INC","Pomerleau Inc.","Pomerleau Inc.","1500 to 2499 employees","1500 à 2499 employés","220-343 Preston Street","220-343 Preston Street","Ottawa","Ottawa","Ontario","Ontario","K1S1N4","Canada","Canada","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","","","","","","","","","","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","OPERATIONS","OPERATIONS","EAST BLOCK<br>111 WELLINGTON ST,OTTAWA,Ontario,K1A0A9,Canada","EAST BLOCK<br>111 WELLINGTON ST,OTTAWA,Ontario,K1A0A9,Canada","","","","","","","","","","","","","","","",""
"POMERLEAU INC (EP747-171823/001/FE~008)","POMERLEAU INC (EP747-171823/001/FE~008)","EP747-171823/001/FE","008","EP747-171823","","EP747-171823/001/FE","22","","2019-07-23","","","2021-03-31","6144000.00","87854653.00","CAD","","","*5124B","*Construction of Commercial Buildings","*Construction d'édifices commerciaux","","","","*CNST","","","Competitive - Open bidding","Concurrentielle - Invitation ouverte à soumissionner","Lowest Price","Prix le plus bas","","","* Other trade agreements not listed here may apply
*Canada-Peru Free Trade Agreement (CPFTA)
*Canada-European Union Comprehensive Economic and Trade Agreement (CETA)
*Canada-Colombia Free Trade Agreement
*World Trade Organization Agreement on Government Procurement (WTO GPA)
*North American Free Trade Agreement (NAFTA)
*Canada-Chile Free Trade Agreement (CCFTA)
*Canada-Panama Free Trade Agreement","*d'autres accords commerciaux non répertoriés ici peuvent s'appliquer
*Accord de libre-échange Canada-Pérou (ALECP)
*Accord économique et commercial global (AECG) entre le Canada et l’Union européenne (UE)
*Accord de libre-échange Canada-Colombie
*Accord sur les marchés publics de l'Organisation mondiale du commerce (AMP-OMC)
*Accord de libre-échange nord-américain (ALENA)
*Accord de libre-échange Canada-Chili (ALECC)
*Accord de libre-échange Canada-Panama","","","Pomerleau Inc.","Pomerleau Inc.","POMERLEAU INC","POMERLEAU INC","Pomerleau Inc.","Pomerleau Inc.","1500 to 2499 employees","1500 à 2499 employés","220-343 Preston Street","220-343 Preston Street","Ottawa","Ottawa","Ontario","Ontario","K1S1N4","Canada","Canada","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","","","","","","","","","","Public Works and Government Services Canada","Travaux publics et Services gouvernementaux Canada","OPERATIONS","OPERATIONS","EAST BLOCK<br>111 WELLINGTON ST,OTTAWA,Ontario,K1A0A9,Canada","EAST BLOCK<br>111 WELLINGTON ST,OTTAWA,Ontario,K1A0A9,Canada","","","","","","","","","","","","","","","",""
